26,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
Hard red spring,Grain inspections,Swaziland,"1,000 bushels",1998/99,MY Jun-May,368
Hard red spring,Grain inspections,Sweden,"1,000 bushels",1998/99,MY Jun-May,294
Hard red spring,Grain inspections,Togo,"1,000 bushels",1998/99,MY Jun-May,834
Hard red spring,Grain inspections,Turkey,"1,000 bushels",1998/99,MY Jun-May,649
Hard red spring,Grain inspections,United Arab Emirates,"1,000 bushels",1998/99,MY Jun-May,107
Hard red spring,Grain inspections,Zimbabwe,"1,000 bushels",1998/99,MY Jun-May,2659
All wheat,Grain inspections,Iraq,"1,000 bushels",1998/99,MY Jun-May,11359
All wheat,Grain inspections,Cameroon,"1,000 bushels",1998/99,MY Jun-May,1136
All wheat,Grain inspections,Bangladesh,"1,000 bushels",1998/99,MY Jun-May,30621
All wheat,Grain inspections,Nicaragua,"1,000 bushels",1998/99,MY Jun-May,2995
All wheat,Grain inspections,Singapore,"1,000 bushels",1998/99,MY Jun-May,1336
All wheat,Grain inspections,Barbados,"1,000 bushels",1998/99,MY Jun-May,830
All wheat,Grain inspections,Belize,"1,000 bushels",1998/99,MY Jun-May,566
All wheat,Grain inspections,Tanzania,"1,000 bushels",1998/99,MY Jun-May,367
All wheat,Grain inspections,United Arab Emirates,"1,000 bushels",1998/99,MY Jun-May,743
Soft white,Grain inspections,Egypt,"1,000 bushels",1998/99,MY Jun-May,58492
Soft white,Grain inspections,Eritrea,"1,000 bushels",1998/99,MY Jun-May,1994
Soft white,Grain inspections,Former Soviet Union,"1,000 bushels",1998/99,MY Jun-May,441
Soft white,Grain inspections,"Korea, North","1,000 bushels",1998/99,MY Jun-May,647
Soft white,Grain inspections,Pakistan,"1,000 bushels",1998/99,MY Jun-May,45251
Soft white,Grain inspections,Venezuela,"1,000 bushels",1998/99,MY Jun-May,3
Soft white,Grain inspections,Other,"1,000 bushels",1998/99,MY Jun-May,888
Soft white,Grain inspections,Total,"1,000 bushels",1998/99,MY Jun-May,211507
Durum,Grain inspections,Italy,"1,000 bushels",1998/99,MY Jun-May,10270
Durum,Grain inspections,Algeria,"1,000 bushels",1998/99,MY Jun-May,7749
Durum,Grain inspections,Venezuela,"1,000 bushels",1998/99,MY Jun-May,3184
Durum,Grain inspections,Nigeria,"1,000 bushels",1998/99,MY Jun-May,142
Durum,Grain inspections,Netherlands,"1,000 bushels",1998/99,MY Jun-May,347
Durum,Grain inspections,Panama,"1,000 bushels",1998/99,MY Jun-May,320
Durum,Grain inspections,Belgium,"1,000 bushels",1998/99,MY Jun-May,1803
Durum,Grain inspections,El Salvador,"1,000 bushels",1998/99,MY Jun-May,246
All wheat,Grain inspections,Albania,"1,000 bushels",1998/99,MY Jun-May,918
All wheat,Grain inspections,Angola,"1,000 bushels",1998/99,MY Jun-May,1431
All wheat,Grain inspections,Benin,"1,000 bushels",1998/99,MY Jun-May,67
All wheat,Grain inspections,Bosnia-Herc,"1,000 bushels",1998/99,MY Jun-May,2514
All wheat,Grain inspections,Botswana,"1,000 bushels",1998/99,MY Jun-May,146
All wheat,Grain inspections,Cape Verde,"1,000 bushels",1998/99,MY Jun-May,184
All wheat,Grain inspections,"China, People's Republic","1,000 bushels",1998/99,MY Jun-May,10801
All wheat,Grain inspections,Congo (Brazzaville),"1,000 bushels",1998/99,MY Jun-May,1436
All wheat,Grain inspections,Cyprus,"1,000 bushels",1998/99,MY Jun-May,1370
All wheat,Grain inspections,Djibouti,"1,000 bushels",1998/99,MY Jun-May,326
All wheat,Grain inspections,Eritrea,"1,000 bushels",1998/99,MY Jun-May,1994
All wheat,Grain inspections,Former Soviet Union,"1,000 bushels",1998/99,MY Jun-May,32346
All wheat,Grain inspections,Gabon,"1,000 bushels",1998/99,MY Jun-May,154
All wheat,Grain inspections,Grenada,"1,000 bushels",1998/99,MY Jun-May,688
All wheat,Grain inspections,Guadeloupe,"1,000 bushels",1998/99,MY Jun-May,9
All wheat,Grain inspections,Iceland,"1,000 bushels",1998/99,MY Jun-May,223
All wheat,Grain inspections,Jordan,"1,000 bushels",1998/99,MY Jun-May,12346
All wheat,Grain inspections,Kenya,"1,000 bushels",1998/99,MY Jun-May,329
All wheat,Grain inspections,"Korea, North","1,000 bushels",1998/99,MY Jun-May,11681
All wheat,Grain inspections,Lebanon,"1,000 bushels",1998/99,MY Jun-May,4965
All wheat,Grain inspections,Malta,"1,000 bushels",1998/99,MY Jun-May,985
All wheat,Grain inspections,Mongolia,"1,000 bushels",1998/99,MY Jun-May,787
All wheat,Grain inspections,Morocco,"1,000 bushels",1998/99,MY Jun-May,6630
All wheat,Grain inspections,Mozambique,"1,000 bushels",1998/99,MY Jun-May,5469
All wheat,Grain inspections,Netherlands Antilles,"1,000 bushels",1998/99,MY Jun-May,275
All wheat,Grain inspections,Norway,"1,000 bushels",1998/99,MY Jun-May,1819
All wheat,Grain inspections,Pakistan,"1,000 bushels",1998/99,MY Jun-May,45251
All wheat,Grain inspections,Poland,"1,000 bushels",1998/99,MY Jun-May,1169
All wheat,Grain inspections,Portugal,"1,000 bushels",1998/99,MY Jun-May,1322
All wheat,Grain inspections,Rwanda,"1,000 bushels",1998/99,MY Jun-May,294
All wheat,Grain inspections,St. Vincent And The Grenadines,"1,000 bushels",1998/99,MY Jun-May,913
All wheat,Grain inspections,Sudan,"1,000 bushels",1998/99,MY Jun-May,1975
All wheat,Grain inspections,Suriname,"1,000 bushels",1998/99,MY Jun-May,310
All wheat,Grain inspections,Swaziland,"1,000 bushels",1998/99,MY Jun-May,368
All wheat,Grain inspections,Sweden,"1,000 bushels",1998/99,MY Jun-May,294
All wheat,Grain inspections,Togo,"1,000 bushels",1998/99,MY Jun-May,834
All wheat,Grain inspections,Turkey,"1,000 bushels",1998/99,MY Jun-May,1729
All wheat,Grain inspections,Uganda,"1,000 bushels",1998/99,MY Jun-May,248
All wheat,Grain inspections,Zaire,"1,000 bushels",1998/99,MY Jun-May,1778
All wheat,Grain inspections,Zimbabwe,"1,000 bushels",1998/99,MY Jun-May,2659
Durum,Grain inspections,Costa Rica,"1,000 bushels",1998/99,MY Jun-May,519
All wheat,Grain inspections,Guyana,"1,000 bushels",1998/99,MY Jun-May,1837
All wheat,Grain inspections,Netherlands,"1,000 bushels",1998/99,MY Jun-May,347
All wheat,Grain inspections,Belgium,"1,000 bushels",1998/99,MY Jun-May,13151
All wheat,Grain inspections,Other,"1,000 bushels",1998/99,MY Jun-May,15810
Hard red spring,Grain inspections,Other,"1,000 bushels",1998/99,MY Jun-May,126
Hard red spring,Grain inspections,Total,"1,000 bushels",1998/99,MY Jun-May,249039
Soft red winter,Grain inspections,Mexico,"1,000 bushels",1998/99,MY Jun-May,10492
Soft red winter,Grain inspections,Nigeria,"1,000 bushels",1998/99,MY Jun-May,3987
Soft red winter,Grain inspections,Colombia,"1,000 bushels",1998/99,MY Jun-May,4023
Soft red winter,Grain inspections,Egypt,"1,000 bushels",1998/99,MY Jun-May,25696
All wheat,Grain inspections,New Zealand,"1,000 bushels",1998/99,MY Jun-May,202
All wheat,Grain inspections,New Zealand,"1,000 bushels",1999/00,MY Jun-May,202
Soft red winter,Grain inspections,Egypt,"1,000 bushels",1999/00,MY Jun-May,43238
Soft red winter,Grain inspections,Colombia,"1,000 bushels",1999/00,MY Jun-May,4315
Soft red winter,Grain inspections,Nigeria,"1,000 bushels",1999/00,MY Jun-May,3388
Soft red winter,Grain inspections,Mexico,"1,000 bushels",1999/00,MY Jun-May,19241
Hard red spring,Grain inspections,Other,"1,000 bushels",1999/00,MY Jun-May,1642
Hard red spring,Grain inspections,Total,"1,000 bushels",1999/00,MY Jun-May,221809
All wheat,Grain inspections,Other,"1,000 bushels",1999/00,MY Jun-May,7568
All wheat,Grain inspections,Belgium,"1,000 bushels",1999/00,MY Jun-May,7204
All wheat,Grain inspections,Netherlands,"1,000 bushels",1999/00,MY Jun-May,1762
All wheat,Grain inspections,Guyana,"1,000 bushels",1999/00,MY Jun-May,1634
Durum,Grain inspections,Costa Rica,"1,000 bushels",1999/00,MY Jun-May,371
All wheat,Grain inspections,Bosnia-Herc,"1,000 bushels",1999/00,MY Jun-May,602
All wheat,Grain inspections,Botswana,"1,000 bushels",1999/00,MY Jun-May,786
All wheat,Grain inspections,Cape Verde,"1,000 bushels",1999/00,MY Jun-May,184
All wheat,Grain inspections,"China, People's Republic","1,000 bushels",1999/00,MY Jun-May,5663
All wheat,Grain inspections,Congo (Brazzaville),"1,000 bushels",1999/00,MY Jun-May,1460
All wheat,Grain inspections,Cyprus,"1,000 bushels",1999/00,MY Jun-May,665
All wheat,Grain inspections,Djibouti,"1,000 bushels",1999/00,MY Jun-May,588
All wheat,Grain inspections,Former Soviet Union,"1,000 bushels",1999/00,MY Jun-May,48469
All wheat,Grain inspections,Gabon,"1,000 bushels",1999/00,MY Jun-May,204
All wheat,Grain inspections,Grenada,"1,000 bushels",1999/00,MY Jun-May,602
All wheat,Grain inspections,Iceland,"1,000 bushels",1999/00,MY Jun-May,200
All wheat,Grain inspections,Jordan,"1,000 bushels",1999/00,MY Jun-May,22739
All wheat,Grain inspections,Kenya,"1,000 bushels",1999/00,MY Jun-May,3092
All wheat,Grain inspections,"Korea, North","1,000 bushels",1999/00,MY Jun-May,3197
All wheat,Grain inspections,Lebanon,"1,000 bushels",1999/00,MY Jun-May,5978
All wheat,Grain inspections,Malta,"1,000 bushels",1999/00,MY Jun-May,1707
All wheat,Grain inspections,Mongolia,"1,000 bushels",1999/00,MY Jun-May,552
All wheat,Grain inspections,Morocco,"1,000 bushels",1999/00,MY Jun-May,13524
All wheat,Grain inspections,Mozambique,"1,000 bushels",1999/00,MY Jun-May,5179
All wheat,Grain inspections,Netherlands Antilles,"1,000 bushels",1999/00,MY Jun-May,353
All wheat,Grain inspections,Norway,"1,000 bushels",1999/00,MY Jun-May,459
All wheat,Grain inspections,Pakistan,"1,000 bushels",1999/00,MY Jun-May,19047
All wheat,Grain inspections,Portugal,"1,000 bushels",1999/00,MY Jun-May,1233
All wheat,Grain inspections,St. Vincent And The Grenadines,"1,000 bushels",1999/00,MY Jun-May,473
All wheat,Grain inspections,Sudan,"1,000 bushels",1999/00,MY Jun-May,2666
All wheat,Grain inspections,Suriname,"1,000 bushels",1999/00,MY Jun-May,913
All wheat,Grain inspections,Swaziland,"1,000 bushels",1999/00,MY Jun-May,204
All wheat,Grain inspections,Turkey,"1,000 bushels",1999/00,MY Jun-May,3428
All wheat,Grain inspections,Uganda,"1,000 bushels",1999/00,MY Jun-May,257
All wheat,Grain inspections,Zaire,"1,000 bushels",1999/00,MY Jun-May,1574
All wheat,Grain inspections,Zimbabwe,"1,000 bushels",1999/00,MY Jun-May,386
Durum,Grain inspections,El Salvador,"1,000 bushels",1999/00,MY Jun-May,160
Durum,Grain inspections,Belgium,"1,000 bushels",1999/00,MY Jun-May,1554
Durum,Grain inspections,Panama,"1,000 bushels",1999/00,MY Jun-May,291
Durum,Grain inspections,Netherlands,"1,000 bushels",1999/00,MY Jun-May,791
Durum,Grain inspections,Nigeria,"1,000 bushels",1999/00,MY Jun-May,135
Durum,Grain inspections,Venezuela,"1,000 bushels",1999/00,MY Jun-May,261
Durum,Grain inspections,Algeria,"1,000 bushels",1999/00,MY Jun-May,14709
Durum,Grain inspections,Italy,"1,000 bushels",1999/00,MY Jun-May,9790
Soft white,Grain inspections,Other,"1,000 bushels",1999/00,MY Jun-May,284
Soft white,Grain inspections,Total,"1,000 bushels",1999/00,MY Jun-May,159967
Hard red spring,Grain inspections,Kenya,"1,000 bushels",1999/00,MY Jun-May,294
Hard red spring,Grain inspections,Lebanon,"1,000 bushels",1999/00,MY Jun-May,272
Hard red spring,Grain inspections,Malta,"1,000 bushels",1999/00,MY Jun-May,1707
Hard red spring,Grain inspections,Mozambique,"1,000 bushels",1999/00,MY Jun-May,3041
Hard red spring,Grain inspections,Netherlands,"1,000 bushels",1999/00,MY Jun-May,971
Hard red spring,Grain inspections,Netherlands Antilles,"1,000 bushels",1999/00,MY Jun-May,176
Hard red spring,Grain inspections,Norway,"1,000 bushels",1999/00,MY Jun-May,459
Hard red spring,Grain inspections,Portugal,"1,000 bushels",1999/00,MY Jun-May,1233
Hard red spring,Grain inspections,Rep. of South Africa,"1,000 bushels",1999/00,MY Jun-May,1470
Hard red spring,Grain inspections,St. Vincent And The Grenadines,"1,000 bushels",1999/00,MY Jun-May,473
Hard red spring,Grain inspections,Suriname,"1,000 bushels",1999/00,MY Jun-May,913
Hard red spring,Grain inspections,Turkey,"1,000 bushels",1999/00,MY Jun-May,1475
Hard red spring,Grain inspections,United Arab Emirates,"1,000 bushels",1999/00,MY Jun-May,355
Soft white,Grain inspections,Egypt,"1,000 bushels",1999/00,MY Jun-May,23535
Soft white,Grain inspections,Ethiopia,"1,000 bushels",1999/00,MY Jun-May,551
Soft white,Grain inspections,Pakistan,"1,000 bushels",1999/00,MY Jun-May,18680
All wheat,Grain inspections,United Arab Emirates,"1,000 bushels",1999/00,MY Jun-May,2714
All wheat,Grain inspections,Tanzania,"1,000 bushels",1999/00,MY Jun-May,502
All wheat,Grain inspections,Belize,"1,000 bushels",1999/00,MY Jun-May,601
All wheat,Grain inspections,Barbados,"1,000 bushels",1999/00,MY Jun-May,639
All wheat,Grain inspections,Singapore,"1,000 bushels",1999/00,MY Jun-May,1123
All wheat,Grain inspections,Nicaragua,"1,000 bushels",1999/00,MY Jun-May,2762
All wheat,Grain inspections,Bangladesh,"1,000 bushels",1999/00,MY Jun-May,19837
All wheat,Grain inspections,Cameroon,"1,000 bushels",1999/00,MY Jun-May,747
Hard red spring,Grain inspections,Belgium,"1,000 bushels",1999/00,MY Jun-May,5650
Hard red spring,Grain inspections,"China, People's Republic","1,000 bushels",1999/00,MY Jun-May,1989
Hard red spring,Grain inspections,Cyprus,"1,000 bushels",1999/00,MY Jun-May,447
Hard red spring,Grain inspections,Egypt,"1,000 bushels",1999/00,MY Jun-May,281
Hard red spring,Grain inspections,Grenada,"1,000 bushels",1999/00,MY Jun-May,534
Hard red spring,Grain inspections,Iceland,"1,000 bushels",1999/00,MY Jun-May,200
All wheat,Grain inspections,Spain,"1,000 bushels",1999/00,MY Jun-May,9283
Hard red spring,Grain inspections,Singapore,"1,000 bushels",1999/00,MY Jun-May,569
Hard red spring,Grain inspections,Belize,"1,000 bushels",1999/00,MY Jun-May,280
Hard red spring,Grain inspections,Guyana,"1,000 bushels",1999/00,MY Jun-May,897
Hard red spring,Grain inspections,Haiti,"1,000 bushels",1999/00,MY Jun-May,425
Hard red spring,Grain inspections,Cameroon,"1,000 bushels",1999/00,MY Jun-May,646
Hard red spring,Grain inspections,Nicaragua,"1,000 bushels",1999/00,MY Jun-May,2264
Hard red spring,Grain inspections,Ecuador,"1,000 bushels",1999/00,MY Jun-May,1655
Hard red winter,Grain inspections,Other,"1,000 bushels",1999/00,MY Jun-May,4484
Hard red winter,Grain inspections,Vietnam,"1,000 bushels",1999/00,MY Jun-May,488
Hard red winter,Grain inspections,Guyana,"1,000 bushels",1999/00,MY Jun-May,705
Hard red winter,Grain inspections,Belize,"1,000 bushels",1999/00,MY Jun-May,321
Hard red winter,Grain inspections,Nicaragua,"1,000 bushels",1999/00,MY Jun-May,98
Hard red winter,Grain inspections,Tanzania,"1,000 bushels",1999/00,MY Jun-May,502
Hard red winter,Grain inspections,Bangladesh,"1,000 bushels",1999/00,MY Jun-May,12770
Soft white,Grain inspections,Bangladesh,"1,000 bushels",1999/00,MY Jun-May,7067
Hard red spring,Grain inspections,Barbados,"1,000 bushels",1999/00,MY Jun-May,503
Hard red spring,Grain inspections,Peru,"1,000 bushels",1999/00,MY Jun-May,489
Hard red winter,Grain inspections,Algeria,"1,000 bushels",1999/00,MY Jun-May,8498
Hard red winter,Grain inspections,Barbados,"1,000 bushels",1999/00,MY Jun-May,67
Hard red winter,Grain inspections,Bosnia-Herc,"1,000 bushels",1999/00,MY Jun-May,602
Hard red winter,Grain inspections,Botswana,"1,000 bushels",1999/00,MY Jun-May,786
Hard red winter,Grain inspections,Cape Verde,"1,000 bushels",1999/00,MY Jun-May,184
Hard red winter,Grain inspections,Congo (Brazzaville),"1,000 bushels",1999/00,MY Jun-May,1460
Hard red winter,Grain inspections,Djibouti,"1,000 bushels",1999/00,MY Jun-May,588
Hard red winter,Grain inspections,Egypt,"1,000 bushels",1999/00,MY Jun-May,86268
Hard red winter,Grain inspections,Former Soviet Union,"1,000 bushels",1999/00,MY Jun-May,41122
Hard red winter,Grain inspections,Gabon,"1,000 bushels",1999/00,MY Jun-May,204
Hard red winter,Grain inspections,Jordan,"1,000 bushels",1999/00,MY Jun-May,22739
Hard red winter,Grain inspections,Kenya,"1,000 bushels",1999/00,MY Jun-May,1735
Hard red winter,Grain inspections,"Korea, North","1,000 bushels",1999/00,MY Jun-May,3197
Hard red winter,Grain inspections,Lebanon,"1,000 bushels",1999/00,MY Jun-May,5114
Hard red winter,Grain inspections,Malaysia,"1,000 bushels",1999/00,MY Jun-May,231
Hard red winter,Grain inspections,Morocco,"1,000 bushels",1999/00,MY Jun-May,5844
Hard red winter,Grain inspections,Mozambique,"1,000 bushels",1999/00,MY Jun-May,2138
Hard red winter,Grain inspections,Netherlands Antilles,"1,000 bushels",1999/00,MY Jun-May,177
Hard red winter,Grain inspections,Pakistan,"1,000 bushels",1999/00,MY Jun-May,367
Hard red winter,Grain inspections,Rep. of South Africa,"1,000 bushels",1999/00,MY Jun-May,1903
Hard red winter,Grain inspections,Sri Lanka,"1,000 bushels",1999/00,MY Jun-May,3765
Hard red winter,Grain inspections,Sudan,"1,000 bushels",1999/00,MY Jun-May,2666
Hard red winter,Grain inspections,Swaziland,"1,000 bushels",1999/00,MY Jun-May,204
Hard red winter,Grain inspections,Uganda,"1,000 bushels",1999/00,MY Jun-May,257
Hard red winter,Grain inspections,United Arab Emirates,"1,000 bushels",1999/00,MY Jun-May,236
Hard red winter,Grain inspections,Zaire,"1,000 bushels",1999/00,MY Jun-May,1574
Hard red winter,Grain inspections,Zimbabwe,"1,000 bushels",1999/00,MY Jun-May,386
Hard red spring,Grain inspections,Costa Rica,"1,000 bushels",1999/00,MY Jun-May,3024
Hard red spring,Grain inspections,Ghana,"1,000 bushels",1999/00,MY Jun-May,3902
Hard red spring,Grain inspections,Panama,"1,000 bushels",1999/00,MY Jun-May,2394
All wheat,Grain inspections,Rep. of South Africa,"1,000 bushels",1999/00,MY Jun-May,4775
All wheat,Grain inspections,Ghana,"1,000 bushels",1999/00,MY Jun-May,3974
All wheat,Grain inspections,United Kingdom,"1,000 bushels",1999/00,MY Jun-May,3718
All wheat,Grain inspections,Haiti,"1,000 bushels",1999/00,MY Jun-May,5323
All wheat,Grain inspections,Algeria,"1,000 bushels",1999/00,MY Jun-May,23207
All wheat,Grain inspections,Panama,"1,000 bushels",1999/00,MY Jun-May,3396
All wheat,Grain inspections,Trinidad,"1,000 bushels",1999/00,MY Jun-May,5128
All wheat,Grain inspections,Vietnam,"1,000 bushels",1999/00,MY Jun-May,1322
All wheat,Grain inspections,Costa Rica,"1,000 bushels",1999/00,MY Jun-May,5471
All wheat,Grain inspections,Ethiopia,"1,000 bushels",1999/00,MY Jun-May,15497
All wheat,Grain inspections,Israel,"1,000 bushels",1999/00,MY Jun-May,33710
All wheat,Grain inspections,Malaysia,"1,000 bushels",1999/00,MY Jun-May,960
All wheat,Grain inspections,Jamaica,"1,000 bushels",1999/00,MY Jun-May,6388
All wheat,Grain inspections,Sri Lanka,"1,000 bushels",1999/00,MY Jun-May,18943
All wheat,Grain inspections,Honduras,"1,000 bushels",1999/00,MY Jun-May,6878
Soft white,Grain inspections,Mexico,"1,000 bushels",1999/00,MY Jun-May,181
Soft white,Grain inspections,Vietnam,"1,000 bushels",1999/00,MY Jun-May,367
Soft white,Grain inspections,Chile,"1,000 bushels",1999/00,MY Jun-May,444
Soft white,Grain inspections,Singapore,"1,000 bushels",1999/00,MY Jun-May,554
Soft white,Grain inspections,Taiwan,"1,000 bushels",1999/00,MY Jun-May,5813
Soft white,Grain inspections,Thailand,"1,000 bushels",1999/00,MY Jun-May,3152
Soft white,Grain inspections,Yemen,"1,000 bushels",1999/00,MY Jun-May,15899
Soft white,Grain inspections,"Korea, Republic","1,000 bushels",1999/00,MY Jun-May,22462
Soft white,Grain inspections,Indonesia,"1,000 bushels",1999/00,MY Jun-May,1005
Soft white,Grain inspections,Japan,"1,000 bushels",1999/00,MY Jun-May,29728
Soft white,Grain inspections,Philippines,"1,000 bushels",1999/00,MY Jun-May,30245
Hard white,Grain inspections,Other,"1,000 bushels",1999/00,MY Jun-May,3
Hard white,Grain inspections,Total,"1,000 bushels",1999/00,MY Jun-May,1032
Hard red winter,Grain inspections,Cameroon,"1,000 bushels",1999/00,MY Jun-May,101
Hard red winter,Grain inspections,Trinidad,"1,000 bushels",1999/00,MY Jun-May,1267
Hard red winter,Grain inspections,Ghana,"1,000 bushels",1999/00,MY Jun-May,72
Hard red winter,Grain inspections,Philippines,"1,000 bushels",1999/00,MY Jun-May,81
All wheat,Grain inspections,Ecuador,"1,000 bushels",1999/00,MY Jun-May,7035
Hard red winter,Grain inspections,Costa Rica,"1,000 bushels",1999/00,MY Jun-May,324
Hard red spring,Grain inspections,Colombia,"1,000 bushels",1999/00,MY Jun-May,735
Hard red spring,Grain inspections,Trinidad,"1,000 bushels",1999/00,MY Jun-May,2512
Hard red spring,Grain inspections,Spain,"1,000 bushels",1999/00,MY Jun-May,8318
Hard red spring,Grain inspections,Vietnam,"1,000 bushels",1999/00,MY Jun-May,467
Hard red spring,Grain inspections,Guatemala,"1,000 bushels",1999/00,MY Jun-May,1464
Hard red spring,Grain inspections,United Kingdom,"1,000 bushels",1999/00,MY Jun-May,3717
Hard red spring,Grain inspections,Honduras,"1,000 bushels",1999/00,MY Jun-May,2132
Hard red spring,Grain inspections,El Salvador,"1,000 bushels",1999/00,MY Jun-May,3047
Hard red spring,Grain inspections,Jamaica,"1,000 bushels",1999/00,MY Jun-May,3181
Hard red spring,Grain inspections,Nigeria,"1,000 bushels",1999/00,MY Jun-May,595
Hard red spring,Grain inspections,Malaysia,"1,000 bushels",1999/00,MY Jun-May,729
Hard red spring,Grain inspections,Dominican Republic,"1,000 bushels",1999/00,MY Jun-May,6956
Hard red spring,Grain inspections,Italy,"1,000 bushels",1999/00,MY Jun-May,15485
Hard red spring,Grain inspections,Mexico,"1,000 bushels",1999/00,MY Jun-May,325
Hard red spring,Grain inspections,Venezuela,"1,000 bushels",1999/00,MY Jun-May,5714
Hard red spring,Grain inspections,Thailand,"1,000 bushels",1999/00,MY Jun-May,5274
All wheat,Grain inspections,Egypt,"1,000 bushels",1999/00,MY Jun-May,153322
All wheat,Grain inspections,Guatemala,"1,000 bushels",1999/00,MY Jun-May,2955
All wheat,Grain inspections,Yemen,"1,000 bushels",1999/00,MY Jun-May,15899
Hard red winter,Grain inspections,Haiti,"1,000 bushels",1999/00,MY Jun-May,4898
Hard red winter,Grain inspections,Ecuador,"1,000 bushels",1999/00,MY Jun-May,2187
Hard red winter,Grain inspections,Honduras,"1,000 bushels",1999/00,MY Jun-May,2072
Hard red winter,Grain inspections,Thailand,"1,000 bushels",1999/00,MY Jun-May,2137
Hard red winter,Grain inspections,Indonesia,"1,000 bushels",1999/00,MY Jun-May,10969
All wheat,Grain inspections,El Salvador,"1,000 bushels",1999/00,MY Jun-May,6569
Hard red winter,Grain inspections,Israel,"1,000 bushels",1999/00,MY Jun-May,31141
Hard red winter,Grain inspections,Ethiopia,"1,000 bushels",1999/00,MY Jun-May,9960
Hard red winter,Grain inspections,El Salvador,"1,000 bushels",1999/00,MY Jun-May,1277
Hard red winter,Grain inspections,Guatemala,"1,000 bushels",1999/00,MY Jun-May,601
Hard red winter,Grain inspections,Chile,"1,000 bushels",1999/00,MY Jun-May,6892
Hard white,Grain inspections,Ecuador,"1,000 bushels",1999/00,MY Jun-May,1028
Hard white,Grain inspections,United Kingdom,"1,000 bushels",1999/00,MY Jun-May,1
Hard red winter,Grain inspections,Dominican Republic,"1,000 bushels",1999/00,MY Jun-May,1203
Soft red winter,Grain inspections,Total,"1,000 bushels",1999/00,MY Jun-May,173289
All wheat,Grain inspections,Chile,"1,000 bushels",1999/00,MY Jun-May,11581
All wheat,Grain inspections,Dominican Republic,"1,000 bushels",1999/00,MY Jun-May,10423
All wheat,Grain inspections,Peru,"1,000 bushels",1999/00,MY Jun-May,18476
All wheat,Grain inspections,Venezuela,"1,000 bushels",1999/00,MY Jun-May,16910
All wheat,Grain inspections,Thailand,"1,000 bushels",1999/00,MY Jun-May,10563
All wheat,Grain inspections,Italy,"1,000 bushels",1999/00,MY Jun-May,25275
All wheat,Grain inspections,Colombia,"1,000 bushels",1999/00,MY Jun-May,26173
All wheat,Grain inspections,Indonesia,"1,000 bushels",1999/00,MY Jun-May,21505
All wheat,Grain inspections,Taiwan,"1,000 bushels",1999/00,MY Jun-May,39218
All wheat,Grain inspections,"Korea, Republic","1,000 bushels",1999/00,MY Jun-May,53694
All wheat,Grain inspections,Philippines,"1,000 bushels",1999/00,MY Jun-May,81421
Durum,Grain inspections,Taiwan,"1,000 bushels",1999/00,MY Jun-May,232
Durum,Grain inspections,Colombia,"1,000 bushels",1999/00,MY Jun-May,92
Durum,Grain inspections,Cyprus,"1,000 bushels",1999/00,MY Jun-May,218
Durum,Grain inspections,Dominican Republic,"1,000 bushels",1999/00,MY Jun-May,889
Durum,Grain inspections,Ecuador,"1,000 bushels",1999/00,MY Jun-May,294
Durum,Grain inspections,Honduras,"1,000 bushels",1999/00,MY Jun-May,226
Durum,Grain inspections,Morocco,"1,000 bushels",1999/00,MY Jun-May,2209
Durum,Grain inspections,Rep. of South Africa,"1,000 bushels",1999/00,MY Jun-May,968
Durum,Grain inspections,Spain,"1,000 bushels",1999/00,MY Jun-May,965
Durum,Grain inspections,Turkey,"1,000 bushels",1999/00,MY Jun-May,652
All wheat,Grain inspections,Nigeria,"1,000 bushels",1999/00,MY Jun-May,44444
All wheat,Grain inspections,Japan,"1,000 bushels",1999/00,MY Jun-May,114213
Durum,Grain inspections,Other,"1,000 bushels",1999/00,MY Jun-May,1357
Durum,Grain inspections,Total,"1,000 bushels",1999/00,MY Jun-May,36164
Soft red winter,Grain inspections,"China, People's Republic","1,000 bushels",1999/00,MY Jun-May,3674
Soft red winter,Grain inspections,Ethiopia,"1,000 bushels",1999/00,MY Jun-May,4986
Soft red winter,Grain inspections,Former Soviet Union,"1,000 bushels",1999/00,MY Jun-May,7347
Soft red winter,Grain inspections,Grenada,"1,000 bushels",1999/00,MY Jun-May,68
Soft red winter,Grain inspections,Guyana,"1,000 bushels",1999/00,MY Jun-May,32
Soft red winter,Grain inspections,Indonesia,"1,000 bushels",1999/00,MY Jun-May,8104
Soft red winter,Grain inspections,Kenya,"1,000 bushels",1999/00,MY Jun-May,1063
Soft red winter,Grain inspections,Lebanon,"1,000 bushels",1999/00,MY Jun-May,592
Soft red winter,Grain inspections,Mongolia,"1,000 bushels",1999/00,MY Jun-May,552
Soft red winter,Grain inspections,Morocco,"1,000 bushels",1999/00,MY Jun-May,5471
Soft red winter,Grain inspections,New Zealand,"1,000 bushels",1999/00,MY Jun-May,202
Soft red winter,Grain inspections,Sri Lanka,"1,000 bushels",1999/00,MY Jun-May,15178
Soft red winter,Grain inspections,Turkey,"1,000 bushels",1999/00,MY Jun-May,1301
Soft red winter,Grain inspections,Philippines,"1,000 bushels",1999/00,MY Jun-May,13989
Soft red winter,Grain inspections,"Korea, Republic","1,000 bushels",1999/00,MY Jun-May,5745
Soft red winter,Grain inspections,Israel,"1,000 bushels",1999/00,MY Jun-May,2569
