Commodity_Desc,Attribute_Desc,Attribute_Desc2,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Jul",6.15
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Jun",6.49
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Jun",7.96
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Jun",6.6
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Jun",6.99
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Jun",6.94
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Jun",5.51
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Mar",5.13
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Mar",6.25
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Mar",5.38
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Mar",5.52
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Mar",9.5
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Mar",5.7
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","May",5.33
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","May",8.02
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","May",5.28
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","May",5.08
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","May",5.77
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","May",5.04
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","MY Jun-May Weighted-average farm price",8.81
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","MY Jun-May Weighted-average farm price",5.73
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","MY Jun-May Weighted-average farm price",6.37
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","MY Jun-May Weighted-average farm price",6.02
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","MY Jun-May Weighted-average farm price",5.34
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","MY Jun-May Weighted-average farm price",5.99
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Nov",5.69
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Nov",11
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Nov",6.04
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Nov",5.23
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Nov",5.66
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Nov",6.51
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Oct",6.15
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Oct",5.48
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Oct",4.95
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Oct",5.71
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Oct",8.48
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Oct",5.53
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Sep",5.49
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Sep",8.25
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Sep",5.71
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Sep",4.94
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Sep",5.58
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2014/15","Sep",6.3
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Apr",4.62
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Apr",4.13
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Apr",4.38
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Apr",6.24
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Apr",4.46
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Apr",4.56
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Aug",4.67
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Aug",4.84
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Aug",7.28
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Aug",4.54
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Aug",4.55
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Aug",6
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Dec",5.35
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Dec",4.34
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Dec",4.52
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Dec",6.93
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Dec",4.75
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Dec",4.77
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Feb",4.54
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Feb",4.61
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Feb",6.08
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Feb",4.54
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Feb",4.22
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Feb",4.94
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jan",5.48
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jan",4.37
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jan",4.48
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jan",6.6
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jan",4.82
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jan",4.77
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jul",5.13
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jul",5.23
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jul",8.74
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jul",4.69
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jul",5.21
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jul",6.34
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jun",5.79
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jun",5.26
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jun",4.91
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jun",9.16
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jun",5.42
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Jun",5.18
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Mar",4.46
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Mar",4.4
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Mar",6.03
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Mar",4.21
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Mar",4.19
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Mar",4.63
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","May",4.88
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","May",4.08
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","May",4.52
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","May",6.57
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","May",4.45
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","May",4.62
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","MY Jun-May Weighted-average farm price",4.89
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","MY Jun-May Weighted-average farm price",4.66
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","MY Jun-May Weighted-average farm price",4.68
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","MY Jun-May Weighted-average farm price",5.38
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","MY Jun-May Weighted-average farm price",4.75
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","MY Jun-May Weighted-average farm price",7.36
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Nov",4.37
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Nov",4.3
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Nov",5.44
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Nov",4.88
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Nov",4.86
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Nov",6.97
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Oct",6.57
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Oct",4.86
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Oct",4.73
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Oct",5.57
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Oct",4.46
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Oct",4.56
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Sep",4.31
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Sep",4.35
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Sep",5.49
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Sep",4.63
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Sep",4.72
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2015/16","Sep",6.36
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Apr",5.9
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Apr",4.16
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Apr",4.89
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Apr",4.11
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Apr",3.52
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Apr",4.19
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Aug",3.92
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Aug",3.15
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Aug",4.23
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Aug",4.27
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Aug",3.68
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Aug",5.66
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Dec",6.07
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Dec",3.9
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Dec",4.72
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Dec",4
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Dec",3.11
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Dec",3.91
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Feb",4.25
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Feb",3.59
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Feb",4.02
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Feb",4.91
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Feb",4.16
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Feb",5.71
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jan",5.9
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jan",4.01
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jan",4.78
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jan",4.04
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jan",3.35
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jan",4.04
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jul",4.16
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jul",3.32
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jul",4.63
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jul",4.48
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jul",3.75
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jul",6.47
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jun",6.5
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jun",4.2
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jun",4.61
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jun",4.75
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jun",3.84
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Jun",4.45
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Mar",4.29
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Mar",3.66
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Mar",4.01
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Mar",4.92
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Mar",4.37
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Mar",5.72
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","May",5.82
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","May",4.05
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","May",4.95
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","May",4.07
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","May",3.65
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","May",4.2
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","MY Jun-May Weighted-average farm price",6.01
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","MY Jun-May Weighted-average farm price",4.6
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","MY Jun-May Weighted-average farm price",4.1
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","MY Jun-May Weighted-average farm price",3.37
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","MY Jun-May Weighted-average farm price",4.13
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","MY Jun-May Weighted-average farm price",3.89
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Nov",4.54
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Nov",3.88
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Nov",6
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Nov",3.85
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Nov",3.16
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Nov",3.92
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Oct",3.88
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Oct",3.07
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Oct",3.83
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Oct",5.51
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Oct",3.68
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Oct",4.46
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Sep",4.24
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Sep",3.48
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Sep",5.61
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Sep",3.68
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Sep",3.02
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2016/17","Sep",4.08
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Apr",4.83
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Apr",4.92
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Apr",5.41
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Apr",5.02
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Apr",5.28
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Apr",5.85
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Aug",6.06
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Aug",4.84
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Aug",6.89
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Aug",4.49
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Aug",4.1
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Aug",4.43
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Dec",4.46
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Dec",3.66
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Dec",4.45
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Dec",6.25
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Dec",4.5
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Dec",5.72
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Feb",5.77
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Feb",4.92
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Feb",6.19
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Feb",4.68
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Feb",4.65
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Feb",4.58
"White","Average price received by farmers","White average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Jan",4.69
"Hard red winter","Average price received by farmers","Hard red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Jan",3.91
"Soft red winter","Average price received by farmers","Soft red winter average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Jan",4.74
"Durum","Average price received by farmers","Durum average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Jan",6.05
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Jan",4.65
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Jan",5.84
"Hard red spring","Average price received by farmers","Hard red spring average price received by farmers dollars per bushel","United States","Dollars per bushel","2017/18","Jul",6.16
