,File Name,Report End Date,Report Title
1909,ams_1909,1/22/2026,"New Holland Livestock Cattle Auction (Thursday) - New Holland, PA"
3692,ams_3692,1/22/2026,"Empire Livestock Sale - Bath, NY"
1953,ams_1953,1/22/2026,"Cattlemen's Livestock Auction - Dalhart, TX"
2015,ams_2015,1/22/2026,"Producers Livestock Cattle Auction - San Angelo, TX"
2191,ams_2191,1/22/2026,"Blue Grass South Stockyards (Thursday) - Stanford, KY"
2132,ams_2132,1/22/2026,"Toppenish Livestock Auction - Toppenish, WA"
1248,ams_1248,1/22/2026,"New Cambria Livestock Market - New Cambria, MO"
1892,ams_1892,1/22/2026,"Farmers and Ranchers Livestock Commission Co. - Salina, KS"
3475,ams_3475,1/22/2026,"Cattlemen's Livestock Exchange - Cord, AR"
1850,ams_1850,1/22/2026,"Ogallala Livestock Auction - Ogallala, NE"
2094,ams_2094,1/22/2026,"Powell Livestock Market - Smithfield, NC"
1954,ams_1954,1/22/2026,"Tulia Livestock Auction - Tulia, TX"
2786,co_lo102,1/22/2026,South Carolina Pasture Raised Pork Report (Monthly) (CO_LO102)
3659,ams_3659,1/22/2026,"Salem Stockyards - Sheep and Goat Auction - Salem, AR"
2048,ams_2048,1/22/2026,"Fairview Sale Barn Cattle Special - Fairview, IL"
2150,ams_2150,1/22/2026,"Denison Livestock Feeder Cattle - Denison, IA"
2022,ams_2022,1/22/2026,"Mitchell Livestock Auction - Mitchell, SD"
2066,ams_2066,1/20/2026,"Knoxville Livestock Center - Knoxville, TN"
3654,ams_3654,1/22/2026,"Mid Missouri Stockyards Cattle Auction - Phillipsburg, MO"
2058,ams_2058,1/22/2026,"Hope Livestock Auction - Hope, AR"
2099,ams_2099,1/22/2026,"Stockmen's Livestock Exchange - Dickinson, ND"
2053,ams_2053,1/22/2026,"I-40 Livestock - Ozark, AR"
2098,ams_2098,1/22/2026,"Napoleon Livestock Auction - Napoleon, ND"
1777,ams_1777,1/22/2026,"Billings Livestock Commission Cattle Auction - Billings, MT (Thu)"
3628,ams_3628,1/22/2026,Hope Livestock ? Cattle Video Auction (Thu)
1891,ams_1891,1/22/2026,"Winter Livestock - Pratt, KS"
1811,ams_1811,1/22/2026,"MO-Kan Livestock Market - Butler, MO"
3495,ams_3495,1/22/2026,Direct Slaughter Cattle - Formulated Base Purchases - Afternoon
2528,ams_2528,1/22/2026,"Kalona Livestock Slaughter Cattle Auction - Kalona, IA"
3241,ams_3241,1/21/2026,"Cattle Country Livestock Video/Internet Auction - Torrington, WY"
1843,ams_1843,1/22/2026,"Southern Oklahoma Livestock Auction Slaughter/Replacement Cattle - Ada, OK"
1829,ams_1829,1/22/2026,"Apache Livestock Auction - Apache, OK"
2229,ams_2229,1/22/2026,"Farmers Regional Livestock Market - Monthly Cattle Sale - Glasgow, KY "
2171,ams_2171,1/22/2026,"Virginia Livestock LLC Graded Slaughter Cattle Sale - Front Royal, VA"
3146,ams_3146,1/22/2026,California Grain Bids
3172,sa_ls850,1/22/2026,National Sheep Summary (SA_LS850)
1828,ams_1828,1/22/2026,"Woodward Livestock Auction Feeder Cattle - Woodward, OK"
2844,ams_2844,1/24/2026,Weekly California Shell Egg Report
3236,ams_3236,1/23/2026,Wyoming Direct Hay Report
3354,ams_3354,2/1/2026,Advanced Prices by Order
2989,dymadvancedprices,1/22/2026,Announcement of Advanced Prices and Pricing Factors (PDF)
2993,dywdairyproductssales,1/22/2026,National Dairy Products Sales Report (PDF)
1102,ams_1102,1/23/2026,Fluid Milk and Cream - West U.S.
1598,ams_1598,1/19/2026,Dry Products Price Summary - U.S.
2929,ams_2929,1/23/2026,Missouri Direct Hay Report
1100,ams_1100,1/23/2026,Fluid Milk and Cream - Central U.S.
1053,ams_1053,1/23/2026,Whey Protein Concentrate - Central and West U.S.
1785,ams_1785,1/24/2026,Missouri (East Central) Weekly Cattle Auction Summary
2789,ams_2789,1/23/2026,South Carolina Crop Production Report (Monthly)
1845,ams_1845,1/24/2026,Missouri (Southwest) Weekly Cattle Auction Summary
1045,ams_1045,1/23/2026,Dry Whey - Central U.S.
1052,ams_1052,1/23/2026,Lactose - Central and West U.S.
1049,ams_1049,1/23/2026,Nonfat Dry Milk - East and Central U.S.
2166,ams_2166,1/22/2026,"Clarinda Livestock Feeder Cattle - Clarinda, IA"
3357,ams_3357,10/1/2025,Mailbox Milk Prices
1051,ams_1051,1/23/2026,Casein - U.S.
1048,ams_1048,1/23/2026,Nonfat Dry Milk - West U.S.
1046,ams_1046,1/23/2026,Dry Whey - West U.S.
1043,ams_1043,1/23/2026,Dry Buttermilk - West U.S.
1047,ams_1047,1/23/2026,Dry Whey - East U.S.
2818,nw_py014,1/22/2026,Broiler/Fryer: Weekly Estimated US Fryer Slaughter/Fryer Availability Comparison 
2820,nw_py017,1/22/2026,Misc. Poultry: Weekly Poultry Slaughtered Under Federal Inspection (Thu) 
2821,nw_py021,1/22/2026,Turkey: Weekly Turkeys Slaughtered in Federally Inspected Plants (Thu) (NW_PY021)
2819,nw_py002,1/22/2026,Broiler/Fryer: Weekly Young Chickens Slaughtered Under Federal Inspection (Thu) 
1101,ams_1101,1/23/2026,Fluid Milk And Cream - East U.S.
1044,ams_1044,1/23/2026,Dry Buttermilk - East and Central U.S.
1050,ams_1050,1/23/2026,Dry Whole Milk - U.S.
3658,ams_3658,1/10/2026,Actual Slaughter Under Federal Inspection
2922,ams_2922,1/22/2026,"Equity Cooperative Sheep & Lamb Video/Internet Auction - Baraboo, WI"
2151,ams_2151,1/20/2026,"Knoxville Regional Feeder Cattle - Knoxville, IA"
1970,ams_1970,1/21/2026,"Shipshewana Livestock Auction - Shipshewana, IN"
3099,ko_ls800,1/22/2026,Estimated Market Receipts (KO_LS800)
3918,ams_3918,1/21/2026,"Mount Hope Sheep Auction (3918) - Mount Hope, OH"
2183,ams_2183,1/21/2026,"Southside Livestock Graded Feeder Cattle Sale - Blackstone, VA"
3630,ams_3630,1/16/2026,Importacion y Exportacion de Ganado Mexicano
3629,ams_3629,1/16/2026,U.S. ? Mexico Livestock Imports/Exports
1992,ams_1992,1/21/2026,Alabama Daily Cattle Auction Summary
1912,ams_1912,1/22/2026,"New Holland Slaughter Hog Auction - New Holland, PA"
1987,ams_1987,1/21/2026,"Valley Livestock - Moulton, AL"
3050,ams_3050,1/23/2026,Alabama Direct Report (Bi-Weekly)
3882,ams_3882,1/21/2026,Superior Livestock Holstein Video Auction
3356,ams_3356,1/1/2026,Retail Prices
3785,ams_3785,1/21/2026,Columbia Livestock Center (UPI) - Columbia TN
3364,ams_3364,1/21/2026,"Shipshewana Hay Auction - Shipshewana, IN"
3661,fvhemp,1/21/2026,National Weekly Hemp Report (FVHEMP)
1944,ams_1944,1/20/2026,"Wilkes County Stockyard - Washington, GA"
2093,ams_2093,1/21/2026,"Stanly County Livestock Market - Norwood, NC"
1928,ams_1928,1/21/2026,Georgia Daily Livestock Auction Summary
1940,ams_1940,1/21/2026,"Northeast Georgia Livestock - Athens, GA"
1703,ams_1703,1/21/2026,Florida Daily Livestock Auction Summary
2111,ams_2111,1/21/2026,Mississippi Daily Auction Summary
1903,ams_1903,1/21/2026,"La Junta Livestock Commision - La Junta, CO"
1774,ams_1774,1/21/2026,"Public Auction Yards Livestock Cattle Auction - Billings, MT (Wed)"
2383,ams_2383,1/21/2026,"'R' Livestock Connection - Monroe, UT"
1939,ams_1939,1/21/2026,"Turner County Stockyard - Ashburn, GA"
2103,ams_2103,1/21/2026,"Torrington Livestock Feeder Cattle Auction - Torrington, WY"
2208,ams_2208,1/21/2026,"Russell Co. Stockyard - Russell Springs, KY"
2071,ams_2071,1/21/2026,"Browning Livestock Market - Lafayette, TN"
2120,ams_2120,1/21/2026,"Lucedale Stockyard - Lucedale, MS"
1999,ams_1999,1/21/2026,"Roanoke Stockyards - Roanoke, AL"
2034,ams_2034,1/21/2026,"Valley Livestock Feeder Cattle Board Sale - Moulton, AL"
2200,ams_2200,1/21/2026,"Christian Co. Livestock - Hopkinsville, KY"
1998,ams_1998,1/21/2026,"Sand Mountain Stockyards Inc. - Kilpatrick, AL"
1622,ams_1622,1/21/2026,"Windsor Livestock Auction - Windsor, MO"
2212,ams_2212,1/21/2026,"Blue Grass Stockyards (Wednesday) - Campbellsville, KY"
1651,ams_1651,1/21/2026,"Ozarks Regional Stockyards Slaughter / Replacement Cattle - West Plains, MO"
2000,ams_2000,1/21/2026,"South Alabama Stockyards - Brundidge, AL"
1964,ams_1964,1/21/2026,"Orangeburg Stockyards - Orangeburg, SC"
1984,ams_1984,1/21/2026,"Frisco City Stockyard - Frisco City, AL"
3467,ams_3467,1/21/2026,"Browning Livestock Market Video/Internet Auction - Lafayette, TN"
1848,ams_1848,1/21/2026,"Huss Livestock Market - Kearney, NE"
2020,ams_2020,1/21/2026,"Hub City Livestock Auction - Aberdeen, SD"
1830,ams_1830,1/21/2026,"Southern Oklahoma Livestock Auction Feeder Cattle- Ada, OK"
2189,ams_2189,1/21/2026,"Blue Grass Stockyards - Albany, KY"
1422,ams_1422,1/21/2026,"Arcadia Livestock Auction - Arcadia, FL (Wed)"
1889,ams_1889,1/21/2026,"Winter Livestock - Dodge City, KS"
2203,ams_2203,1/21/2026,"United Producers, Inc. - Owenton, KY"
2068,ams_2068,1/21/2026,"Hardin County Stockyard - Savannah, TN"
2067,ams_2067,1/21/2026,"East Tennessee Livestock Center - Sweetwater, TN"
1959,ams_1959,1/21/2026,"Laurens Livestock Exchange - Laurens, SC"
2097,ams_2097,1/21/2026,"Kist Livestock Auction - Mandan, ND"
1662,fvwtrds,1/23/2026,SC National Shipping Point Trends Report
1942,ams_1942,1/21/2026,"Jackson Regional Stockyard - Jackson, GA"
2153,ams_2153,1/21/2026,"Kalona Sheep and Goat Auction - Kalona, IA"
2057,ams_2057,1/21/2026,"County Line Sale - Ratcliff, AR"
3466,usmcaw,1/21/2026,U.S. Mexico Canada Agreement Seasonal Perishable Products Weekly Update
2930,ams_2930,12/31/2025,National Quarterly Sod Report
1817,ams_1817,1/21/2026,"South Central Regional Stockyards - Vienna, MO"
3903,ams_3903,1/21/2026,"Trenton Regional Stockyards - Trenton, TN"
2760,mb_fv195,1/21/2026,Apple Processing Report - Appalachian District (MB_FV195)
1823,ams_1823,1/20/2026,"Oklahoma National Stockyards Slaughter/Replacement Cattle - Oklahoma City, OK"
1812,ams_1812,1/21/2026,"Farmington Regional Stockyards - Farmington, MO"
1899,ams_1899,1/21/2026,"Centennial Livestock Sheep and Goat Auction - Fort Collins, CO"
1865,ams_1865,1/21/2026,"Northeast Georgia Livestock Board Sales - Athens, GA"
2160,ams_2160,1/21/2026,"Creston Livestock Feeder Cattle - Creston, IA"
1092,ams_1092,1/23/2026,Cheese - Foreign Type
1281,ams_1281,1/20/2026,"OKC West Livestock Auction  - El Reno, OK"
1095,ams_1095,1/23/2026,Weekly Cold Storage Holdings - U.S.
1091,ams_1091,1/23/2026,Butter - West U.S.
1085,ams_1085,1/23/2026,Cheese - West U.S.
2806,pywsedi,1/21/2026,Shell Eggs: Weekly Shell Egg Demand Indicator (SEDI) (Wed) (PYWSEDI)
2089,ams_2089,1/21/2026,"Wilkes Livestock Exchange - North Wilkesboro, NC"
3802,ams_3802,1/5/2026,National Organic Grain and Feedstuffs
1255,ams_1255,1/21/2026,"Springfield Livestock Marketing Center Feeder Cattle - Springfield, MO"
2046,ams_2046,1/21/2026,"Greenville Livestock Cattle Auction - Greenville, IL"
2202,ams_2202,1/21/2026,"Bluegrass Stockyard - Mt. Sterling, KY"
2894,ams_2894,1/21/2026,"Bluegrass Stockyards Livestock Video/Internet Auction ? Albany, KY"
3165,ra_fv170,1/20/2026,"RALEIGH, NC TRUCK AIR, AND BOAT Daily Movement Report"
1665,ams_1665,1/17/2026,Weekly Shell Eggs Processed Under Federal Inspection
1797,ams_1797,1/21/2026,"Joplin Regional Stockyards Slaughter/Replacement Cattle- Carthage, MO"
2084,ams_2084,1/21/2026,"Powell Livestock Sheep and Goat Auction - Smithfield, NC"
3212,wa_ls635,1/21/2026,Canadian Live Animal Imports into the U.S. By State of Entry (WA_LS635)
3211,wa_ls637,1/21/2026,Canadian Live Animal Imports into the U.S. By Destination (WA_LS637)
3900,ams_3900,1/21/2026,"Johnson Stockyard - Kosciusko, Mississippi"
1089,ams_1089,1/23/2026,Butter - Central U.S.
1083,ams_1083,1/23/2026,Cheese - Central U.S.
3332,ya_fv170,1/20/2026,"YAKIMA, WA TRUCK AIR, AND BOAT Daily Movement Report"
2016,ams_2016,1/21/2026,"Sioux Falls Regional Livestock Auction - Worthing, SD"
3102,ams_3102,1/21/2026,"Apache Livestock Video/Internet Auction - Apache, OK"
2047,ams_2047,1/21/2026,"Walnut Auction Sales Slaughter Cattle - Walnut, IL"
3351,ams_3351,12/1/2025,Uniform Milk Prices
3461,ams_3461,12/1/2025,Producer Receipts
3462,ams_3462,12/1/2025,Producer Milk Components
3349,ams_3349,12/1/2025,Class IV Utilization
3348,ams_3348,12/1/2025,Class III Utilization
3347,ams_3347,12/1/2025,Class II Utilization
3346,ams_3346,12/1/2025,Class I Utilization
3345,ams_3345,12/1/2025,Class I Prices
2165,ams_2165,1/21/2026,"Tama Livestock Slaughter Cattle - Tama, IA"
2375,fvwtrk,1/19/2026,SC National Truck Rate Report (PDF) (FVWTRK)
3328,ya_fv196,1/21/2026,Apple Juice Concentrate (YA_FV196)
1090,ams_1090,1/23/2026,Butter - East U.S.
3489,ams_3489,1/21/2026,Rushville Hay Auction
1084,ams_1084,1/23/2026,Cheese - East U.S.
1725,ams_1725,1/21/2026,"Wolgemuth Hay Auction - Leola, PA (Wednesday)"
2172,ams_2172,1/20/2026,"Staunton Livestock Auction Graded Slaughter Cattle Sale - Staunton, VA"
2182,ams_2182,1/20/2026,"Virginia Cattle Company Graded Feeder Cattle Sale - Radiant, VA"
1901,ams_1901,1/20/2026,"Winter Livestock (Tuesday) - La Junta, CO"
3795,ams_3795,1/19/2026,"Beaver Livestock Auction Slaughter/Replacement Cattle - Beaver, OK"
2146,ams_2146,1/20/2026,"Virginia Cattle Company Feeder Cattle Board Sale - Radiant, VA"
2705,ams_2705,1/21/2026,Weekly Average Weight of Barrows and Gilts (PDF) (LSWSWINEWTS)
1935,ams_1935,1/20/2026,"Franklin County Livestock - Carnesville, GA"
1988,ams_1988,1/20/2026,"Mid State Stockyards LLP - Letohatchee, AL"
2840,nw_ls720,1/21/2026,Iowa-So. Minnesota Weekly Average Weight Barrows & Gilts (NW_LS720)
3794,ams_3794,1/20/2026,"Beaver Livestock Auction Feeder Cattle - Beaver, OK"
2037,ams_2037,1/20/2026,"Producers Livestock Auction - Salina, UT"
2023,ams_2023,1/20/2026,"Philip Livestock Auction - Philip, SD"
1880,ams_1880,1/17/2026,"Jackson County Regional Livestock Market - Ripley, WV"
2014,ams_2014,1/20/2026,"Producers Livestock Sheep and Goat Auction - San Angelo, TX"
2080,ams_2080,1/20/2026,"Pulaski Stockyard - Pulaski, TN"
2092,ams_2092,1/20/2026,"Cleveland County Agriculture & Livestock Exchange - Shelby, NC"
1419,ams_1419,1/20/2026,"Okeechobee Livestock Auction - Okeechobee, FL (Tue)"
3916,ams_3916,1/20/2026,"Four State Stockyards ? Cattle Auction - Exeter, MO"
1934,ams_1934,1/20/2026,"Southern Livestock - Oak Park, GA"
3415,ams_3415,1/20/2026,"Topeka Livestock Auction - Topeka, IN"
2196,ams_2196,1/20/2026,"Livingston Co. Livestock Market - Ledbetter, KY"
1995,ams_1995,1/20/2026,"Alabama Livestock Auction - Uniontown, AL"
2060,ams_2060,1/20/2026,"Athens Regional Stockyard - Athens, TN"
3633,ams_3633,1/20/2026,"Middleburg Livestock Auction Slaughter Hog Sale - Middleburg, PA"
1789,ams_1789,1/20/2026,"F and T Livestock Market Slaughter Cattle - Palmyra, MO"
3632,ams_3632,1/20/2026,"Middleburg Livestock Auction Sheep and Goat Sale - Middleburg, PA"
1827,ams_1827,1/20/2026,"McAlester Union Livestock Auction - McAlester, OK"
1918,ams_1918,1/20/2026,"Middleburg Livestock Auction - Middleburg, PA"
2052,ams_2052,1/20/2026,"Arkansas Cattle Auction LLC - Searcy, AR"
1815,ams_1815,1/20/2026,"Kingsville Livestock Auction - Kingsville, MO"
3091,ams_3091,1/20/2026,Pennsylvania Grain Bids
2001,ams_2001,1/20/2026,"Cullman Stockyard Cattle Auction - Cullman, AL"
2164,ams_2164,1/20/2026,"Dunlap Livestock Slaughter Cattle - Dunlap, IA"
2117,ams_2117,1/20/2026,"Brookhaven Stockyard - Brookhaven, MS"
1650,ams_1650,1/20/2026,"Topeka Hay Auction - Topeka, IN"
2104,ams_2104,1/20/2026,"Winter Livestock Auction - Riverton, WY"
2714,ams_2714,1/20/2026,Maryland Grain Bids
2211,ams_2211,1/20/2026,"Mid-Kentucky Livestock Market - Upton, KY"
3675,ams_3675,1/19/2026,"Warren Co. Livestock Auction - McMinnville, TN"
2199,ams_2199,1/20/2026,"Farmers Regional Livestock Auction of Glasgow Dairy Auction - Smiths Grove, KY"
1249,ams_1249,1/20/2026,"Ozarks Regional Stockyards Feeder Cattle - West Plains, MO"
3416,ams_3416,1/20/2026,"Ozarks Regional Stockyards Video Auction - West Plains, MO"
2195,ams_2195,1/20/2026,"Farmers Stockyards - Flemingsburg, KY"
1991,ams_1991,1/20/2026,"Arab Livestock Market - Arab, AL"
1946,ams_1946,1/20/2026,"Calhoun Stockyard - Calhoun, GA"
1608,ams_1608,1/19/2026,"Okeechobee Livestock Auction - Okeechobee, FL (Mon)"
1814,ams_1814,1/20/2026,"Interstate Regional Stockyards - Cuba, MO"
1773,ams_1773,1/20/2026,"Miles City Livestock Commission Auction - Miles City, MT"
1824,ams_1824,1/20/2026,"Woodward Livestock Auction Slaughter/Replacement Cattle  - Woodward, OK"
2118,ams_2118,1/20/2026,"Tylertown Stockyard - Tylertown, MS"
1937,ams_1937,1/20/2026,"Pulaski County Stockyard - Hawkinsville, GA"
1985,ams_1985,1/20/2026,"Opp Livestock - Opp, AL"
3653,ams_3653,1/20/2026,"North Platte Stockyards Livestock Auction - North Platte, NE"
1663,orntrds,1/23/2026,SC National Ornamental Trends Report
1813,ams_1813,1/20/2026,"Lolli Brothers Livestock Market - Macon, MO"
3034,mh_fv221,1/20/2026,"Import Ornamental Shipping Point Report - Miami, FL (MH_FV221)"
1938,ams_1938,1/20/2026,"Thomasville Stockyard - Thomasville, GA"
3677,ams_3677,1/20/2026,"United Producers Inc - Fayetteville, TN"
1237,ams_1237,1/20/2026,"Unionville Livestock Market  - Unionville, MO"
1607,ams_1607,1/20/2026,"Cattlemen's Livestock Auction - Lakeland, FL"
3791,ams_3791,1/20/2026,"Cattle Drive Livestock Video/Internet Auction - Salina, UT"
3365,ams_3365,1/20/2026,"Lonestar Stockyards - Wildorado, TX"
3161,ams_3161,1/20/2026,"Mid-Atlantic Livestock Video/Internet Auction - Norwood, NC"
1420,ams_1420,1/20/2026,"Townsend Livestock Auction - Madison, FL"
1893,ams_1893,1/20/2026,"Farmers and Ranchers Livestock Commission Co. Replacement Cattle Special - Salina,"
2128,ams_2128,1/20/2026,"Blue Grass Stockyards (Tuesday) - Lexington, KY"
2219,ams_2219,1/17/2026,"Washington Co. Graded Sheep/Goat Sale  (Monthly 3rd Sat) - Springfield, KY"
3484,ams_3484,1/20/2026,"SEMO Livestock Sales Cattle Auction - Jackson, MO"
2065,ams_2065,1/20/2026,"Dickson Regional Livestock West - Huntingdon, TN"
2207,ams_2207,1/19/2026,"United Producers Inc. - Harned, KY"
1956,ams_1956,1/20/2026,"Low Country Livestock Exchange - Darlington, SC"
2762,mb_fv170,1/19/2026,"INWOOD, WV TRUCK AIR, AND BOAT Daily Movement Report"
1950,ams_1950,1/20/2026,"Mosely Livestock Feeder Cattle Board Sale - Blakely, GA"
3233,lswnfss,1/20/2026,Weekly National Feeder & Stocker Cattle Summary (LSWNFSS)
3232,sj_ls850,1/20/2026,National Feeder & Stocker Cattle Summary (SJ_LS850)
2700,ams_2700,1/20/2026,National Weekly Fed Cattle Comprehensive (PDF) (LSWFEDCC)
2591,lm_ct200,1/20/2026,National Weekly Fed Cattle Comprehensive (CSV) (LM_CT200)
3492,ams_3492,1/20/2026,Weekly Direct Slaughter Cattle Net Price Distribution (PDF)
2116,ams_2116,1/20/2026,"Philadelphia Stockyard -Philadelphia, MS"
2391,fr_fv120,1/20/2026,Fresno Shipping Point Vegetables Prices (FR_FV120)
2188,ams_2188,1/20/2026,"United Producers Inc. - Bowling Green, KY"
1427,ams_1427,1/23/2026,National Weekly Shell Egg Inventory
2923,if_fv195,1/20/2026,New York Apples for Processing (IF_FV195)
2175,ams_2175,1/19/2026,"Farmers Livestock Exchange Graded Feeder Cattle Sale - Winchester, VA"
2728,ams_2728,1/17/2026,International: Weekly Major Wholesale Markets - Mexico City (Tue)
1604,ams_1604,1/20/2026,Global Dairy Trade (GDT)
2119,ams_2119,1/20/2026,"Winona Stockyard - Winona, MS"
2405,ra_fv120,1/20/2026,Raleigh Shipping Point Vegetables Prices (RA_FV120)
1979,ams_1979,1/20/2026,"Arab Livestock Market Feeder Cattle Board Sale - Arab, AL"
2411,th_fv120,1/20/2026,Thomasville Shipping Point Vegetables Prices (TH_FV120)
2246,ams_2246,1/20/2026,"Pipestone Hay and Straw Auction - Pipestone, MN"
1624,ams_1624,1/23/2026,Weekly Poultry & Egg Cold Storage Holdings - U.S.
2049,ams_2049,1/20/2026,"Fairview Sale Barn Slaughter Cattle - Fairview, IL"
2889,lswkssum,1/20/2026,Kansas Weekly Summary (LSWKSSUM)
1917,ams_1917,1/19/2026,"Greencastle Livestock Auction (Monday) - Greencastle, PA"
3634,ams_3634,1/19/2026,"Greencastle Livestock Auction Sheep and Goat Sale (Monday) - Greencastle, PA"
3618,ams_3618,1/16/2026,National Weekly Grain Co-Products Report
2717,tv_fv170,1/19/2026,"THOMASVILLE, GA TRUCK AIR, AND BOAT Daily Movement Report"
2044,ams_2044,1/20/2026,"Walnut Auction Sales Feeder Cattle Special - Walnut, IL"
2793,ca_fv170,1/19/2026,"COLUMBIA, SC TRUCK AIR, AND BOAT Daily Movement Report"
2389,ca_fv120,1/20/2026,Columbia Shipping Point Vegetables Prices (CA_FV120)
3142,lswpnwexports,1/20/2026,Pacific Northwest Weekly Grain Exports by Destination (LSWPNWEXPORTS)
1913,ams_1913,1/19/2026,"New Holland Sheep and Goat Auction - New Holland, PA"
1280,ams_1280,1/19/2026,"Oklahoma National Stockyards Feeder Cattle - Oklahoma City, OK"
2885,ams_2885,1/16/2026,Kansas Direct Hay Report
2893,lswkysum,1/20/2026,Kentucky Weekly Summary (LSWKYSUM)
1782,ams_1782,1/19/2026,"Roswell Livestock Auction - Roswell, NM"
2193,ams_2193,1/17/2026,Kentucky Weekly Livestock Auction Summary
3071,wa_gr101,1/20/2026,Grains Inspected for Export (Weekly) (WA_GR101)
2194,ams_2194,1/17/2026,"Lake Cumberland Livestock - Somerset, KY"
2243,ams_2243,1/19/2026,"Rock Valley Hay Auction (Mon) - Rock Valley, IA"
2192,ams_2192,1/17/2026,"Blue Grass Stockyards (Saturday) - Campbellsville, KY"
2056,ams_2056,1/17/2026,Arkansas Weekly Livestock Auction Summary
2245,ams_2245,1/19/2026,"Dakota Hay Auction - Corsica, SD (Monday)"
3337,ams_3337,1/20/2026,National Daily Direct Hogs - Afternoon - Excluded Transactions (EX_HG203)
3336,ams_3336,1/20/2026,National Daily Direct Hogs - Morning - Excluded Transactions (EX_HG202)
3335,ams_3335,1/20/2026,National Daily Direct Hog Prior Day - Slaughtered Swine - Excluded Transactions 
3334,ams_3334,1/20/2026,National Daily Direct Hog Prior Day - Purchased Swine - Excluded Transactions
2698,ams_2698,1/20/2026,National Weekly Boxed Beef Cutout and Boxed Beef Cuts - Excluded Transactions 
2697,ams_2697,1/20/2026,National Weekly Direct Cattle - Negotiated Purchases - Excluded Transactions 
2007,ams_2007,1/19/2026,"Northwest Alabama Livestock Cattle Sale - Russellville, AL"
1784,ams_1784,1/17/2026,New Mexico Weekly Cattle Summary
1716,ams_1716,1/19/2026,"Wolgemuth Hay Auction - New Holland, PA (Monday)"
2063,ams_2063,1/17/2026,Tennessee Weekly Cattle Auction Summary
2091,ams_2091,1/17/2026,North Carolina Weekly Livestock Auction Summary
3213,ams_3213,1/10/2026,Weekly Canadian Livestock and Poultry Summary
2759,pyworganic,1/20/2026,Organic Poultry and Eggs (PYWORGANIC)
1919,ams_1919,1/17/2026,Pennsylvania Weekly Cattle Auction Summary
2011,ams_2011,1/17/2026,New York Weekly Cattle Auction Summary
2289,bh_fv201,1/20/2026,Boston Terminal Market Ornamentals Prices (BH_FV201)
2039,ams_2039,1/17/2026,Utah Weekly Cattle Auction Summary
1907,ams_1907,1/17/2026,Colorado Weekly Cattle Auction Summary
3635,ams_3635,1/19/2026,"Tina Livestock Market Cattle Auction - Tina, MO"
1941,ams_1941,1/19/2026,"Seminole Livestock Exchange - Donalsonville, GA"
2041,ams_2041,1/17/2026,Illinois Weekly Cattle Auction Summary
1976,ams_1976,1/17/2026,Indiana Weekly Auction Summary
2088,ams_2088,1/19/2026,"Harward Brothers Livestock Market - Turnersburg, NC"
2125,ams_2125,1/19/2026,"Cattlemens Livestock - West Point, MS"
3108,af_fv160,1/20/2026,Fairview Kentucky Produce Auction (AF_FV160)
3724,ams_3724,1/19/2026,"Giddings Livestock Auction - Giddings, TX"
2184,ams_2184,1/19/2026,"Lynchburg Graded Feeder Cattle Sale - Rustburg, VA"
2186,ams_2186,1/17/2026,"Springlake Graded Feeder Cattle Sale - Moneta, VA"
1949,ams_1949,1/19/2026,"Carroll County Livestock - Carrollton, GA"
2003,ams_2003,1/19/2026,"Ashville Stockyard - Ashville, AL"
2114,ams_2114,1/19/2026,"Tadlock Stockyards - Forest, MS"
1832,ams_1832,1/19/2026,"Tulsa Livestock Auction - Tulsa, OK"
2127,ams_2127,1/19/2026,"Blue Grass Stockyards (Monday) - Lexington, KY"
2168,ams_2168,1/19/2026,"Roanoke-Hollins Graded Feeder Cattle Sale - Roanoke, VA"
2209,ams_2209,1/19/2026,"Washington Co. Cattle Sale - Springfield, KY"
1997,ams_1997,1/19/2026,"Tennessee Valley Livestock - Florence, AL"
1948,ams_1948,1/19/2026,"Duvall Livestock - Greensboro, GA"
1819,ams_1819,1/19/2026,"Callaway Livestock Center - Kingdom City, MO"
2113,ams_2113,1/19/2026,"Southeast Mississippi Livestock - Hattiesburg, MS"
2055,ams_2055,1/19/2026,"Cleburne County Livestock Auction - Heber Springs, AR"
1418,ams_1418,1/19/2026,"Columbia Livestock Auction - Lake City, FL"
2198,ams_2198,1/19/2026,"Farmers Regional Livestock Market - Glasgow, KY"
1958,ams_1958,1/19/2026,"Upstate Livestock Exchange - Williamston, SC"
2123,ams_2123,1/19/2026,"Peoples Livestock Auction - Houston, MS"
1908,ams_1908,1/19/2026,"New Holland Livestock Cattle Auction (Monday) - New Holland, PA"
2105,ams_2105,1/19/2026,"Torrington Livestock Auction Special - Torrington, WY"
2090,ams_2090,1/19/2026,"WNC Regional Livestock Center - Canton, NC"
3790,ams_3790,1/19/2026,"Saluda Livestock Exchange - Saluda, SC"
1986,ams_1986,1/19/2026,"Coffee County Stockyards - New Brockton, AL"
2201,ams_2201,1/19/2026,"Kentuckiana Livestock Market - Owensboro, KY"
3775,ams_3775,1/19/2026,"Southeastern Auction Co Inc ? Chadbourn, NC"
2213,ams_2213,1/19/2026,"Cattleman's Livestock - Bowling Green, KY"
1245,ams_1245,1/19/2026,"Joplin Regional Stockyards Feeder Cattle - Carthage, MO"
2159,ams_2159,1/19/2026,"Russell Livestock Feeder Cattle - Russell, IA"
1930,ams_1930,1/19/2026,"Eastanollee Livestock - Eastanollee, GA"
