Commodity_Desc,Commodity_Desc2,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1996/97","Jan",5761
"Durum","Durum food exports","1,000 grain-equivalent bushels","1996/97","Jan",151.853477423096
"All wheat","Food use","1,000 bushels","1996/97","Jul",75202.159771013
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1996/97","Jul",1704.08140273638
"All wheat","Food exports","1,000 grain-equivalent bushels","1996/97","Jul",2120.92163172339
"All wheat","Wheat ground for flour","1,000 bushels","1996/97","Jul",73619
"All wheat","Nonmilled food use","1,000 bushels","1996/97","Jul",2000
"Durum","Durum food use","1,000 bushels","1996/97","Jul",5961.00160249353
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1996/97","Jul",897.838951131744
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1996/97","Jul",5183
"Durum","Durum food exports","1,000 grain-equivalent bushels","1996/97","Jul",119.83734863821
"All wheat","Food use","1,000 bushels","1996/97","Jun",69143.8781784963
"All wheat","Food exports","1,000 grain-equivalent bushels","1996/97","Jun",2114.42570754322
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1996/97","Jun",1603.30388603955
"All wheat","Wheat ground for flour","1,000 bushels","1996/97","Jun",67655
"All wheat","Nonmilled food use","1,000 bushels","1996/97","Jun",2000
"Durum","Durum food use","1,000 bushels","1996/97","Jun",6145.92381860201
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1996/97","Jun",787.579887227894
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1996/97","Jun",5473
"Durum","Durum food exports","1,000 grain-equivalent bushels","1996/97","Jun",114.656068625883
"All wheat","Food use","1,000 bushels","1996/97","Mar",71393.0265253483
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1996/97","Mar",1646.37114209558
"All wheat","Food exports","1,000 grain-equivalent bushels","1996/97","Mar",2651.34461674725
"All wheat","Wheat ground for flour","1,000 bushels","1996/97","Mar",70398
"All wheat","Nonmilled food use","1,000 bushels","1996/97","Mar",2000
"Durum","Durum food use","1,000 bushels","1996/97","Mar",5621.00672732136
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1996/97","Mar",1064.48063630905
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1996/97","Mar",4724
"Durum","Durum food exports","1,000 grain-equivalent bushels","1996/97","Mar",167.473908987695
"All wheat","Food use","1,000 bushels","1996/97","May",73822.6476740173
"All wheat","Food exports","1,000 grain-equivalent bushels","1996/97","May",2273.23903353593
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1996/97","May",1806.88670755324
"All wheat","Wheat ground for flour","1,000 bushels","1996/97","May",72289
"All wheat","Nonmilled food use","1,000 bushels","1996/97","May",2000
"Durum","Durum food use","1,000 bushels","1996/97","May",5883.44248674221
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1996/97","May",1128.61472858702
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1996/97","May",4959
"Durum","Durum food exports","1,000 grain-equivalent bushels","1996/97","May",204.172241844808
"All wheat","Food use","1,000 bushels","1996/97","MY Jun-May",890718.697890383
"Durum","Durum food use","1,000 bushels","1996/97","MY Jun-May",76105.6248017101
"All wheat","Nonmilled food use","1,000 bushels","1996/97","Nov",2000
"All wheat","Wheat ground for flour","1,000 bushels","1996/97","Nov",73694
"All wheat","Food use","1,000 bushels","1996/97","Nov",74637.4149832354
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1996/97","Nov",1789.33563746404
"All wheat","Food exports","1,000 grain-equivalent bushels","1996/97","Nov",2845.92065422858
"Durum","Durum food exports","1,000 grain-equivalent bushels","1996/97","Nov",163.723147846989
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1996/97","Nov",964.898275468626
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1996/97","Nov",5689
"Durum","Durum food use","1,000 bushels","1996/97","Nov",6490.17512762164
"All wheat","Nonmilled food use","1,000 bushels","1996/97","Oct",2000
"All wheat","Wheat ground for flour","1,000 bushels","1996/97","Oct",82670
"All wheat","Food use","1,000 bushels","1996/97","Oct",83852.6637995514
"All wheat","Food exports","1,000 grain-equivalent bushels","1996/97","Oct",2647.82869156353
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1996/97","Oct",1830.49249111497
"Durum","Durum food exports","1,000 grain-equivalent bushels","1996/97","Oct",169.44667269607
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1996/97","Oct",972.262425769058
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1996/97","Oct",6599
"Durum","Durum food use","1,000 bushels","1996/97","Oct",7401.81575307299
"All wheat","Food use","1,000 bushels","1996/97","Q1 Jun-Aug",223718.530522703
"Durum","Durum food use","1,000 bushels","1996/97","Q1 Jun-Aug",18642.4956342953
"All wheat","Food use","1,000 bushels","1996/97","Q2 Sep-Nov",233812.73830845
"Durum","Durum food use","1,000 bushels","1996/97","Q2 Sep-Nov",20220.2036670533
"All wheat","Food use","1,000 bushels","1996/97","Q3 Dec-Feb",212680.12653452
"Durum","Durum food use","1,000 bushels","1996/97","Q3 Dec-Feb",19486.2501049162
"All wheat","Food use","1,000 bushels","1996/97","Q4 Mar-May",220507.302524711
"Durum","Durum food use","1,000 bushels","1996/97","Q4 Mar-May",17756.6753954453
"All wheat","Nonmilled food use","1,000 bushels","1996/97","Sep",2000
"All wheat","Wheat ground for flour","1,000 bushels","1996/97","Sep",75099
"All wheat","Food use","1,000 bushels","1996/97","Sep",75322.6595256631
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1996/97","Sep",1384.98783914118
"All wheat","Food exports","1,000 grain-equivalent bushels","1996/97","Sep",3161.32831347811
"Durum","Durum food exports","1,000 grain-equivalent bushels","1996/97","Sep",182.9814923852
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1996/97","Sep",720.194278743887
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1996/97","Sep",5791
"Durum","Durum food use","1,000 bushels","1996/97","Sep",6328.21278635869
"All wheat","Nonmilled food use","1,000 bushels","1997/98","Apr",2000
"All wheat","Wheat ground for flour","1,000 bushels","1997/98","Apr",72180.1937861563
"All wheat","Food use","1,000 bushels","1997/98","Apr",74869.1525872709
"All wheat","Food exports","1,000 grain-equivalent bushels","1997/98","Apr",1421.61679360805
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1997/98","Apr",2110.5755947226
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1997/98","Apr",4573.6167542162
"Durum","Durum food exports","1,000 grain-equivalent bushels","1997/98","Apr",175.6784722801
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1997/98","Apr",1281.96599003009
"Durum","Durum food use","1,000 bushels","1997/98","Apr",5679.90427196619
"All wheat","Nonmilled food use","1,000 bushels","1997/98","Aug",2000
"All wheat","Wheat ground for flour","1,000 bushels","1997/98","Aug",75591
"All wheat","Food use","1,000 bushels","1997/98","Aug",77495.1921386867
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1997/98","Aug",1745.53238438532
"All wheat","Food exports","1,000 grain-equivalent bushels","1997/98","Aug",1841.34024569861
"Durum","Durum food exports","1,000 grain-equivalent bushels","1997/98","Aug",211.94808091915
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1997/98","Aug",1036.89540361581
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1997/98","Aug",5156
"Durum","Durum food use","1,000 bushels","1997/98","Aug",5980.94732269666
"All wheat","Nonmilled food use","1,000 bushels","1997/98","Dec",2000
"All wheat","Wheat ground for flour","1,000 bushels","1997/98","Dec",74618
"All wheat","Food use","1,000 bushels","1997/98","Dec",75483.3067578709
"All wheat","Food exports","1,000 grain-equivalent bushels","1997/98","Dec",3322.9010808843
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1997/98","Dec",2188.2078387552
"Durum","Durum food exports","1,000 grain-equivalent bushels","1997/98","Dec",237.864915815329
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1997/98","Dec",1351.6757549117
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1997/98","Dec",5608
"Durum","Durum food use","1,000 bushels","1997/98","Dec",6721.81083909637
"All wheat","Nonmilled food use","1,000 bushels","1997/98","Feb",2000
"All wheat","Wheat ground for flour","1,000 bushels","1997/98","Feb",70214.472662286
"All wheat","Food use","1,000 bushels","1997/98","Feb",70911.1700904241
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1997/98","Feb",1608.29762625632
"All wheat","Food exports","1,000 grain-equivalent bushels","1997/98","Feb",2911.60019811825
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1997/98","Feb",5182.42028739241
"Durum","Durum food exports","1,000 grain-equivalent bushels","1997/98","Feb",214.583444556675
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1997/98","Feb",958.778557532545
"Durum","Durum food use","1,000 bushels","1997/98","Feb",5926.61540036828
"All wheat","Nonmilled food use","1,000 bushels","1997/98","Jan",2000
"All wheat","Wheat ground for flour","1,000 bushels","1997/98","Jan",70776.2895732347
"All wheat","Food use","1,000 bushels","1997/98","Jan",72807.3356366217
"All wheat","Food exports","1,000 grain-equivalent bushels","1997/98","Jan",1592.53872266168
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1997/98","Jan",1623.58478604867
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1997/98","Jan",5047.25545417606
"Durum","Durum food exports","1,000 grain-equivalent bushels","1997/98","Jan",188.286249910024
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1997/98","Jan",945.685674228113
"Durum","Durum food use","1,000 bushels","1997/98","Jan",5804.65487849414
"All wheat","Nonmilled food use","1,000 bushels","1997/98","Jul",2000
"All wheat","Wheat ground for flour","1,000 bushels","1997/98","Jul",76140
"All wheat","Food use","1,000 bushels","1997/98","Jul",76714.1916345612
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1997/98","Jul",1602.48452865228
"All wheat","Food exports","1,000 grain-equivalent bushels","1997/98","Jul",3028.29289409105
"Durum","Durum food exports","1,000 grain-equivalent bushels","1997/98","Jul",189.515698706457
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1997/98","Jul",911.268449389818
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1997/98","Jul",5155
"Durum","Durum food use","1,000 bushels","1997/98","Jul",5876.75275068336
"All wheat","Nonmilled food use","1,000 bushels","1997/98","Jun",2000
"All wheat","Wheat ground for flour","1,000 bushels","1997/98","Jun",72062
"All wheat","Food use","1,000 bushels","1997/98","Jun",73684.9053829835
"All wheat","Food exports","1,000 grain-equivalent bushels","1997/98","Jun",1929.98670035711
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1997/98","Jun",1552.89208334066
"Durum","Durum food exports","1,000 grain-equivalent bushels","1997/98","Jun",205.465532041023
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1997/98","Jun",910.744168293727
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1997/98","Jun",5177
"Durum","Durum food use","1,000 bushels","1997/98","Jun",5882.2786362527
"All wheat","Nonmilled food use","1,000 bushels","1997/98","Mar",2000
"All wheat","Wheat ground for flour","1,000 bushels","1997/98","Mar",74494.2377644793
"All wheat","Food use","1,000 bushels","1997/98","Mar",76886.4343129711
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1997/98","Mar",1943.10429834278
"All wheat","Food exports","1,000 grain-equivalent bushels","1997/98","Mar",1550.90774985098
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1997/98","Mar",5196.32425843153
"Durum","Durum food exports","1,000 grain-equivalent bushels","1997/98","Mar",195.91956869881
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1997/98","Mar",1197.25447232439
"Durum","Durum food use","1,000 bushels","1997/98","Mar",6197.65916205712
"All wheat","Nonmilled food use","1,000 bushels","1997/98","May",2000
"All wheat","Wheat ground for flour","1,000 bushels","1997/98","May",73801.468227887
"All wheat","Food use","1,000 bushels","1997/98","May",76461.218150838
"All wheat","Food exports","1,000 grain-equivalent bushels","1997/98","May",1198.30122562202
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1997/98","May",1858.05114857298
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1997/98","May",4748.3777084403
"Durum","Durum food exports","1,000 grain-equivalent bushels","1997/98","May",266.945256301896
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1997/98","May",1108.21279609041
"Durum","Durum food use","1,000 bushels","1997/98","May",5589.64524822882
"All wheat","Food use","1,000 bushels","1997/98","MY Jun-May",913991.320276574
"Durum","Durum food use","1,000 bushels","1997/98","MY Jun-May",72826.1313375604
"All wheat","Nonmilled food use","1,000 bushels","1997/98","Nov",2000
"All wheat","Wheat ground for flour","1,000 bushels","1997/98","Nov",75058
"All wheat","Food use","1,000 bushels","1997/98","Nov",76926.2551611031
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1997/98","Nov",1767.57888902334
"All wheat","Food exports","1,000 grain-equivalent bushels","1997/98","Nov",1899.32372792023
"Durum","Durum food exports","1,000 grain-equivalent bushels","1997/98","Nov",292.891987872722
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1997/98","Nov",1077.08044267913
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1997/98","Nov",5742
"Durum","Durum food use","1,000 bushels","1997/98","Nov",6526.18845480641
"All wheat","Nonmilled food use","1,000 bushels","1997/98","Oct",2000
"All wheat","Wheat ground for flour","1,000 bushels","1997/98","Oct",82392
"All wheat","Food use","1,000 bushels","1997/98","Oct",83471.8076405411
"All wheat","Food exports","1,000 grain-equivalent bushels","1997/98","Oct",2829.35815052962
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1997/98","Oct",1909.16579107069
"Durum","Durum food exports","1,000 grain-equivalent bushels","1997/98","Oct",334.113450756539
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1997/98","Oct",1128.54521952075
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1997/98","Oct",5763
"Durum","Durum food use","1,000 bushels","1997/98","Oct",6557.43176876421
"All wheat","Food use","1,000 bushels","1997/98","Q1 Jun-Aug",227894.289156232
"Durum","Durum food use","1,000 bushels","1997/98","Q1 Jun-Aug",17739.9787096327
"All wheat","Food use","1,000 bushels","1997/98","Q2 Sep-Nov",238678.413584346
"Durum","Durum food use","1,000 bushels","1997/98","Q2 Sep-Nov",19165.8628277168
"All wheat","Food use","1,000 bushels","1997/98","Q3 Dec-Feb",219201.812484917
"Durum","Durum food use","1,000 bushels","1997/98","Q3 Dec-Feb",18453.0811179588
"All wheat","Food use","1,000 bushels","1997/98","Q4 Mar-May",228216.80505108
"Durum","Durum food use","1,000 bushels","1997/98","Q4 Mar-May",17467.2086822521
"All wheat","Nonmilled food use","1,000 bushels","1997/98","Sep",2000
"All wheat","Wheat ground for flour","1,000 bushels","1997/98","Sep",78077
"All wheat","Food use","1,000 bushels","1997/98","Sep",78280.3507827015
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1997/98","Sep",1525.58363285149
"All wheat","Food exports","1,000 grain-equivalent bushels","1997/98","Sep",3322.23285014995
"Durum","Durum food exports","1,000 grain-equivalent bushels","1997/98","Sep",225.508010422452
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1997/98","Sep",862.750614568615
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1997/98","Sep",5445
"Durum","Durum food use","1,000 bushels","1997/98","Sep",6082.24260414616
"All wheat","Nonmilled food use","1,000 bushels","1998/99","Apr",2000
"All wheat","Wheat ground for flour","1,000 bushels","1998/99","Apr",75997.3050217415
"All wheat","Food use","1,000 bushels","1998/99","Apr",76546.6952526287
"All wheat","Food exports","1,000 grain-equivalent bushels","1998/99","Apr",3284.40451789765
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1998/99","Apr",1833.79474878485
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1998/99","Apr",4620.57517279513
"Durum","Durum food exports","1,000 grain-equivalent bushels","1998/99","Apr",220.443384910012
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1998/99","Apr",1034.08691222223
"Durum","Durum food use","1,000 bushels","1998/99","Apr",5434.21870010735
"All wheat","Nonmilled food use","1,000 bushels","1998/99","Aug",2000
"All wheat","Wheat ground for flour","1,000 bushels","1998/99","Aug",78118.9798422623
"All wheat","Food use","1,000 bushels","1998/99","Aug",79886.1166293586
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1998/99","Aug",2064.17207464943
"All wheat","Food exports","1,000 grain-equivalent bushels","1998/99","Aug",2297.0352875531
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1998/99","Aug",5093.33260169056
"Durum","Durum food exports","1,000 grain-equivalent bushels","1998/99","Aug",268.759618164284
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1998/99","Aug",1226.73869804238
"Durum","Durum food use","1,000 bushels","1998/99","Aug",6051.31168156865
"All wheat","Nonmilled food use","1,000 bushels","1998/99","Dec",2000
"All wheat","Wheat ground for flour","1,000 bushels","1998/99","Dec",75062.8646396884
"All wheat","Food use","1,000 bushels","1998/99","Dec",72431.4260853654
"All wheat","Food exports","1,000 grain-equivalent bushels","1998/99","Dec",6721.02223597706
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1998/99","Dec",2089.58368165412
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1998/99","Dec",4555.84237860853
"Durum","Durum food exports","1,000 grain-equivalent bushels","1998/99","Dec",287.616799031377
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1998/99","Dec",1171.63027805227
"Durum","Durum food use","1,000 bushels","1998/99","Dec",5439.85585762942
"All wheat","Nonmilled food use","1,000 bushels","1998/99","Feb",2000
"All wheat","Wheat ground for flour","1,000 bushels","1998/99","Feb",69580.0545901535
"All wheat","Food use","1,000 bushels","1998/99","Feb",70125.8691981133
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1998/99","Feb",1745.30207861717
"All wheat","Food exports","1,000 grain-equivalent bushels","1998/99","Feb",3199.48747065736
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1998/99","Feb",4877.3744154261
"Durum","Durum food exports","1,000 grain-equivalent bushels","1998/99","Feb",251.784403916726
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1998/99","Feb",998.594747065155
"Durum","Durum food use","1,000 bushels","1998/99","Feb",5624.18475857453
"All wheat","Nonmilled food use","1,000 bushels","1998/99","Jan",2000
"All wheat","Wheat ground for flour","1,000 bushels","1998/99","Jan",70136.7952427751
"All wheat","Food use","1,000 bushels","1998/99","Jan",71207.7975265732
"All wheat","Food exports","1,000 grain-equivalent bushels","1998/99","Jan",2841.18292054087
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1998/99","Jan",1912.18520433894
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1998/99","Jan",4750.16560895423
"Durum","Durum food exports","1,000 grain-equivalent bushels","1998/99","Jan",261.280589772682
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1998/99","Jan",1097.51547606564
"Durum","Durum food use","1,000 bushels","1998/99","Jan",5586.40049524719
"All wheat","Nonmilled food use","1,000 bushels","1998/99","Jul",2000
"All wheat","Wheat ground for flour","1,000 bushels","1998/99","Jul",71476.8732014012
"All wheat","Food use","1,000 bushels","1998/99","Jul",73395.143779089
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1998/99","Jul",1885.86458173574
"All wheat","Food exports","1,000 grain-equivalent bushels","1998/99","Jul",1967.59400404789
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1998/99","Jul",4361.85110291256
"Durum","Durum food exports","1,000 grain-equivalent bushels","1998/99","Jul",209.343171774874
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1998/99","Jul",1062.79086922926
"Durum","Durum food use","1,000 bushels","1998/99","Jul",5215.29880036695
"All wheat","Nonmilled food use","1,000 bushels","1998/99","Jun",2000
"All wheat","Wheat ground for flour","1,000 bushels","1998/99","Jun",70609.3379859567
"All wheat","Food use","1,000 bushels","1998/99","Jun",72334.4237610885
"All wheat","Food exports","1,000 grain-equivalent bushels","1998/99","Jun",2189.05596436959
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1998/99","Jun",1914.14173950143
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1998/99","Jun",4411.0055373435
"Durum","Durum food exports","1,000 grain-equivalent bushels","1998/99","Jun",219.816173057324
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1998/99","Jun",1096.72899018029
"Durum","Durum food use","1,000 bushels","1998/99","Jun",5287.91835446646
"All wheat","Nonmilled food use","1,000 bushels","1998/99","Mar",2000
"All wheat","Wheat ground for flour","1,000 bushels","1998/99","Mar",73821.1501670714
"All wheat","Food use","1,000 bushels","1998/99","Mar",74183.1737015117
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1998/99","Mar",1849.7024983965
"All wheat","Food exports","1,000 grain-equivalent bushels","1998/99","Mar",3487.6789639562
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1998/99","Mar",4890.45997561967
"Durum","Durum food exports","1,000 grain-equivalent bushels","1998/99","Mar",261.93694529741
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1998/99","Mar",1015.9460262545
"Durum","Durum food use","1,000 bushels","1998/99","Mar",5644.46905657676
"All wheat","Nonmilled food use","1,000 bushels","1998/99","May",2000
"All wheat","Wheat ground for flour","1,000 bushels","1998/99","May",77704.3174556122
"All wheat","Food use","1,000 bushels","1998/99","May",79393.7098389351
"All wheat","Food exports","1,000 grain-equivalent bushels","1998/99","May",2119.00931062328
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1998/99","May",1808.4016939462
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1998/99","May",4797.13043959082
"Durum","Durum food exports","1,000 grain-equivalent bushels","1998/99","May",231.684266659136
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1998/99","May",1001.20148510138
"Durum","Durum food use","1,000 bushels","1998/99","May",5566.64765803306
"All wheat","Food use","1,000 bushels","1998/99","MY Jun-May",910249.317789262
"Durum","Durum food use","1,000 bushels","1998/99","MY Jun-May",67444.5787771938
"All wheat","Nonmilled food use","1,000 bushels","1998/99","Nov",2000
"All wheat","Wheat ground for flour","1,000 bushels","1998/99","Nov",79968.7444095795
"All wheat","Food use","1,000 bushels","1998/99","Nov",81464.8767336431
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1998/99","Nov",2019.66718422492
"All wheat","Food exports","1,000 grain-equivalent bushels","1998/99","Nov",2523.53486016123
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1998/99","Nov",4948.784577907
"Durum","Durum food exports","1,000 grain-equivalent bushels","1998/99","Nov",234.630017262875
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1998/99","Nov",1130.53467703623
"Durum","Durum food use","1,000 bushels","1998/99","Nov",5844.68923768036
"All wheat","Nonmilled food use","1,000 bushels","1998/99","Oct",2000
"All wheat","Wheat ground for flour","1,000 bushels","1998/99","Oct",83548.3909507322
"All wheat","Food use","1,000 bushels","1998/99","Oct",83569.1063117214
"All wheat","Food exports","1,000 grain-equivalent bushels","1998/99","Oct",4055.55606209123
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1998/99","Oct",2076.27142308051
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1998/99","Oct",5317.37304348447
"Durum","Durum food exports","1,000 grain-equivalent bushels","1998/99","Oct",305.121500234934
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1998/99","Oct",1187.45379779937
"Durum","Durum food use","1,000 bushels","1998/99","Oct",6199.70534104891
"All wheat","Food use","1,000 bushels","1998/99","Q1 Jun-Aug",225615.684169536
"Durum","Durum food use","1,000 bushels","1998/99","Q1 Jun-Aug",16554.5288364021
"All wheat","Food use","1,000 bushels","1998/99","Q2 Sep-Nov",240744.962016598
"Durum","Durum food use","1,000 bushels","1998/99","Q2 Sep-Nov",17594.2734146234
"All wheat","Food use","1,000 bushels","1998/99","Q3 Dec-Feb",213765.092810052
"Durum","Durum food use","1,000 bushels","1998/99","Q3 Dec-Feb",16650.4411114511
"All wheat","Food use","1,000 bushels","1998/99","Q4 Mar-May",230123.578793075
"Durum","Durum food use","1,000 bushels","1998/99","Q4 Mar-May",16645.3354147172
"All wheat","Nonmilled food use","1,000 bushels","1998/99","Sep",2000
"All wheat","Wheat ground for flour","1,000 bushels","1998/99","Sep",75117.1469563366
"All wheat","Food use","1,000 bushels","1998/99","Sep",75710.9789712335
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1998/99","Sep",1744.4196602325
"All wheat","Food exports","1,000 grain-equivalent bushels","1998/99","Sep",3150.58764533561
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1998/99","Sep",4958.81629539688
"Durum","Durum food exports","1,000 grain-equivalent bushels","1998/99","Sep",275.695150039113
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1998/99","Sep",866.757690536382
"Durum","Durum food use","1,000 bushels","1998/99","Sep",5549.87883589415
"All wheat","Food exports","1,000 grain-equivalent bushels","1999/00","Apr",3433.78498597774
"All wheat","Nonmilled food use","1,000 bushels","1999/00","Apr",2000
"All wheat","Wheat ground for flour","1,000 bushels","1999/00","Apr",75585.067672482
"All wheat","Food use","1,000 bushels","1999/00","Apr",75799.1206069196
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1999/00","Apr",1647.83792041536
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1999/00","Apr",5280.99037876693
"Durum","Durum food exports","1,000 grain-equivalent bushels","1999/00","Apr",235.220658023502
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1999/00","Apr",924.064954736187
